A2WC012E v68 AF Correction 16-bit RAM literal trace
target float: 0xFFFFB538
target mirror: 0xFFFFB330

16-bit sign-extended refs in FFFFB000-FFFFB8FF: 1843
pc=0x017DA8 op=9126 literal=0x017DF8 word=B0FC value=0xFFFFB0FC -> r1
pc=0x017DCC op=9115 literal=0x017DFA word=B0F0 value=0xFFFFB0F0 -> r1
pc=0x017DE6 op=9209 literal=0x017DFC word=B0F4 value=0xFFFFB0F4 -> r2
pc=0x017E5C op=936C literal=0x017F38 word=B0D8 value=0xFFFFB0D8 -> r3
pc=0x017EC4 op=9339 literal=0x017F3A word=B0E0 value=0xFFFFB0E0 -> r3
pc=0x017EC8 op=9238 literal=0x017F3C word=B0D0 value=0xFFFFB0D0 -> r2
pc=0x017EF4 op=9220 literal=0x017F38 word=B0D8 value=0xFFFFB0D8 -> r2
pc=0x017F08 op=9319 literal=0x017F3E word=B0E4 value=0xFFFFB0E4 -> r3
pc=0x017F0C op=9118 literal=0x017F40 word=B0E8 value=0xFFFFB0E8 -> r1
pc=0x017F1A op=9311 literal=0x017F40 word=B0E8 value=0xFFFFB0E8 -> r3
pc=0x017F88 op=9063 literal=0x018052 word=B1F9 value=0xFFFFB1F9 -> r0
pc=0x017F9A op=915B literal=0x018054 word=B090 value=0xFFFFB090 -> r1
pc=0x017FD4 op=923F literal=0x018056 word=B0CC value=0xFFFFB0CC -> r2
pc=0x017FD8 op=913E literal=0x018058 word=B0C8 value=0xFFFFB0C8 -> r1
pc=0x017FE0 op=9239 literal=0x018056 word=B0CC value=0xFFFFB0CC -> r2
pc=0x017FEE op=9034 literal=0x01805A word=B0FD value=0xFFFFB0FD -> r0
pc=0x018024 op=9E1B literal=0x01805E word=B0FC value=0xFFFFB0FC -> r14
pc=0x0180A4 op=9379 literal=0x01819A word=B090 value=0xFFFFB090 -> r3
pc=0x0180B0 op=9374 literal=0x01819C word=B0BC value=0xFFFFB0BC -> r3
pc=0x0180B4 op=9273 literal=0x01819E word=B0C0 value=0xFFFFB0C0 -> r2
pc=0x0180C0 op=916E literal=0x0181A0 word=B0C4 value=0xFFFFB0C4 -> r1
pc=0x0180C4 op=926D literal=0x0181A2 word=B0C8 value=0xFFFFB0C8 -> r2
pc=0x0180C8 op=916C literal=0x0181A4 word=B0CC value=0xFFFFB0CC -> r1
pc=0x0180D8 op=9365 literal=0x0181A6 word=B0D0 value=0xFFFFB0D0 -> r3
pc=0x0180DC op=9264 literal=0x0181A8 word=B0D4 value=0xFFFFB0D4 -> r2
pc=0x0180E0 op=9163 literal=0x0181AA word=B0D8 value=0xFFFFB0D8 -> r1
pc=0x0180E4 op=9262 literal=0x0181AC word=B0E0 value=0xFFFFB0E0 -> r2
pc=0x0180E8 op=9161 literal=0x0181AE word=B0E8 value=0xFFFFB0E8 -> r1
pc=0x0180EC op=9260 literal=0x0181B0 word=B0F0 value=0xFFFFB0F0 -> r2
pc=0x0180F0 op=915F literal=0x0181B2 word=B0EC value=0xFFFFB0EC -> r1
pc=0x0180F4 op=945E literal=0x0181B4 word=B0FD value=0xFFFFB0FD -> r4
pc=0x0180FC op=935C literal=0x0181B8 word=B0FC value=0xFFFFB0FC -> r3
pc=0x018118 op=913F literal=0x01819A word=B090 value=0xFFFFB090 -> r1
pc=0x01811A op=904E literal=0x0181BA word=B1F9 value=0xFFFFB1F9 -> r0
pc=0x018134 op=9332 literal=0x01819C word=B0BC value=0xFFFFB0BC -> r3
pc=0x018138 op=9231 literal=0x01819E word=B0C0 value=0xFFFFB0C0 -> r2
pc=0x01813C op=9130 literal=0x0181A0 word=B0C4 value=0xFFFFB0C4 -> r1
pc=0x018140 op=932F literal=0x0181A2 word=B0C8 value=0xFFFFB0C8 -> r3
pc=0x018144 op=922E literal=0x0181A4 word=B0CC value=0xFFFFB0CC -> r2
pc=0x018150 op=9229 literal=0x0181A6 word=B0D0 value=0xFFFFB0D0 -> r2
pc=0x018154 op=9328 literal=0x0181A8 word=B0D4 value=0xFFFFB0D4 -> r3
pc=0x018158 op=9127 literal=0x0181AA word=B0D8 value=0xFFFFB0D8 -> r1
pc=0x01815C op=9326 literal=0x0181AC word=B0E0 value=0xFFFFB0E0 -> r3
pc=0x018160 op=9125 literal=0x0181AE word=B0E8 value=0xFFFFB0E8 -> r1
pc=0x018164 op=9324 literal=0x0181B0 word=B0F0 value=0xFFFFB0F0 -> r3
pc=0x018168 op=9123 literal=0x0181B2 word=B0EC value=0xFFFFB0EC -> r1
pc=0x01816C op=9422 literal=0x0181B4 word=B0FD value=0xFFFFB0FD -> r4
pc=0x018186 op=9015 literal=0x0181B4 word=B0FD value=0xFFFFB0FD -> r0
pc=0x0181DC op=9245 literal=0x01826A word=B304 value=0xFFFFB304 -> r2
pc=0x0181F0 op=943C literal=0x01826C word=B110 value=0xFFFFB110 -> r4
pc=0x018242 op=9013 literal=0x01826C word=B110 value=0xFFFFB110 -> r0
pc=0x018256 op=9009 literal=0x01826C word=B110 value=0xFFFFB110 -> r0
pc=0x01827C op=922E literal=0x0182DC word=B304 value=0xFFFFB304 -> r2
pc=0x018294 op=9523 literal=0x0182DE word=B114 value=0xFFFFB114 -> r5
pc=0x0182AA op=9019 literal=0x0182E0 word=B1F9 value=0xFFFFB1F9 -> r0
pc=0x0182BC op=940F literal=0x0182DE word=B114 value=0xFFFFB114 -> r4
pc=0x0182C8 op=9009 literal=0x0182DE word=B114 value=0xFFFFB114 -> r0
pc=0x01830A op=9224 literal=0x018356 word=B118 value=0xFFFFB118 -> r2
pc=0x018312 op=9321 literal=0x018358 word=B11C value=0xFFFFB11C -> r3
pc=0x018318 op=911E literal=0x018358 word=B11C value=0xFFFFB11C -> r1
pc=0x01831C op=931B literal=0x018356 word=B118 value=0xFFFFB118 -> r3
pc=0x018336 op=9211 literal=0x01835C word=B120 value=0xFFFFB120 -> r2
pc=0x01833E op=930E literal=0x01835E word=B124 value=0xFFFFB124 -> r3
pc=0x018344 op=910B literal=0x01835E word=B124 value=0xFFFFB124 -> r1
pc=0x018348 op=9308 literal=0x01835C word=B120 value=0xFFFFB120 -> r3
pc=0x018380 op=9843 literal=0x01840A word=B128 value=0xFFFFB128 -> r8
pc=0x018384 op=9942 literal=0x01840C word=B12C value=0xFFFFB12C -> r9
pc=0x018388 op=9A41 literal=0x01840E word=B138 value=0xFFFFB138 -> r10
pc=0x01838C op=9B40 literal=0x018410 word=B130 value=0xFFFFB130 -> r11
pc=0x018390 op=9C3F literal=0x018412 word=B13C value=0xFFFFB13C -> r12
pc=0x018394 op=9D3E literal=0x018414 word=B134 value=0xFFFFB134 -> r13
pc=0x018396 op=9E3E literal=0x018416 word=B148 value=0xFFFFB148 -> r14
pc=0x0183AC op=9235 literal=0x01841A word=B144 value=0xFFFFB144 -> r2
pc=0x0183B0 op=9332 literal=0x018418 word=B140 value=0xFFFFB140 -> r3
